productid,name,description,category,sku,stock,cost,price,prodimg,weight,size
1,Nursery Rug,blue circular rug,shag,RUG-BL-5-5-CRL,20,30,60,bl_circle_nursery_shag.jpg,20lbs,5' x 5'
2,Modern Circles,blue and brown rectangle,modern,RUG-BL-6-4-RCT,10,20,80,bl_circles_on_rect.jpg,20lbs,6' x 4'
3,Blue Flower Rug,blue flower rug,floral,RUG-BL-5-5-OTH,5,40,100,bl_flower_rug.jpg,10lbs,5' x 5'
4,Blue Mum Rug,blue flower rug,floral,RUG-BL-5-5-OTH-2,5,40,100,bl_flower2_rug.jpg,10lbs,5' x 5'
5,Blue Peony Rug,blue flower rug,floral,RUG-BL-5-5-OTH-3,5,40,100,bl_flower3_rug.jpg,10lbs,5' x 5'
6,Green Mosaic Rug,blue green gold mosaic rectangle,modern,RUG-GR-6-4-RCT,10,70,120,bl_gr_mosaic_rectangle.jpg,30lbs,6' x 4'
7,Blue Mosaic Rug,blue grey square,modern,RUG-BL-4-4-SQ,12,22,60,bl_mosaic_sq.jpg,15lbs,4' x 4'
8,Blue Persian Rug,blue persian circle,traditional,RUG-BL-4-4-CRL,18,30,100,bl_persian_traditional_circle.jpg,20lbs,4' x 4'
9,Blue Quatrefoil Rug,blue white circle,traditional,RUG-BL-5-5-CRL-2,20,15,80,bl_white_clover_circle.jpg,20lbs,5' x 5'
10,Blue Woven Rug,blue woven circle,woven,RUG-BL-5-5-CRL-3,10,30,120,bl_woven_circle.jpg,10lbs,5' x 5'
11,Green Persian Rug,green persian rectangle,traditional,RUG-GR-6-4-RCT-1,30,30,200,gr_persian_traditional.jpg,30lbs,6' x 4'
12,Green Border Fleur de Lis Rug,green gold rectangle,traditional,RUG-GR-6-4-RCT-2,10,28,150,gr_rect_fleurdelis.jpg,32lbs,6' x 4'
13,Green Swirled Rug,green swirls rectangle,modern,RUG-GR-6-4-RCT-3,15,28,78,gr_swirl_rect.jpg,20lbs,6' x 4'
14,Green Floral Rug,green floral square,traditional,RUG-GR-5-5-SQ,12,50,90,gr_swirl_sqaure.jpg,15lbs,5' x 5'
15,Light Green Floral Rug,light green yellow blue circle,traditional,RUG-GR-5-5-CRL,18,20,100,lt_gr_circle_traditional.jpg,12lbs,5' x 5'
16,Orange Persian Rug,orange gold square,traditional,RUG-OR-5-5-SQ,8,15,90,orange_persian_square.jpg,18lbs,5' x 5'
17,Purple Dyed Rug,purple rectangle,traditional,RUG-PL-6-4-RCT,12,35,105,prp_dyed_rect.jpg,24lbs,6' x 4'
18,Purple Grey Rug,purple grey rectangle,traditional,RUG-PL-6-4-RCT-2,8,20,80,prp_gry_rect.jpg,30lbs,6' x 4'
19,Purple Persian Rug,purple persian rectangle,traditional,RUG-PL-6-4-RCT-3,9,30,120,prp_persian_rect.jpg,20lbs,6' x 4'
20,Purple Geometric Rug,purple squares rectangle,modern,RUG-PL-6-4-RCT-4,30,15,90,prp_sq_rect.jpg,18lbs,6' x 4'
21,Purple Swirled Rug,purple swirls rectangle,modern,RUG-PL-6-4-RCT-5,12,20,75,prp_swirl_rect.jpg,20lbs,6' x 4'
22,Red Sunburst Rug,red orange yellow rectangle,modern,RUG-RD-6-4-RCT,9,30,120,red_bursts_rect.jpg,30lbs,6' x 4'
23,Red Ombre Rug,red orange black rectangle,modern,RUG-RD-6-4-RCT-1,10,17,130,red_ombre_rect.jpg,20lbs,6' x 4'
24,Red Shag Rug,red shag circle,shag,RUG-RD-4-4-CRL,8,20,80,red_shag_circle.jpg,24lbs,4' x 4'
25,Yellow Foral Rug,yellow white floral,floral,RUG-YL-6-4-RCT,9,30,120,yellow_floral_rect.jpg,30lbs,6' x 4'
26,Yellow Houndstooth Rug,yellow white,modern,RUG-YL-6-4-RCT-2,30,15,90,yellow_houndstooth_rect.jpg,20lbs,6' x 4'
27,Yellow Pattern Rug,yellow white rectangle,modern,RUG-YL-6-4-RCT-3,12,20,75,yellow_os_rect.jpg,18lbs,6' x 4'
28,Yellow Peony Rug,yellow floral ,floral,RUG-YL-5-5-OTH,5,30,120,yellow_peony_rug.jpg,20lbs,5' x 5'
29,Yellow Woven Rug,yellow woven oval,woven,RUG-YL-6-4-CRL,10,17,130,yellow_woven_oval.jpg,30lbs,6' x 4'
30,Yellow Zebra Rug,yellow white zebra rectangle,modern,RUG-YL-6-4-RCT-4,6,20,80,yellow_zebra_rect.jpg,20lbs,6' x 4'
